Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,152100,2,-200,-0.13,154700,156000,150100,25407497,3899973965409,900376927936200,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,767000,1,12000,1.59,754000,776000,744000,3508272,2655268603316,558377813955000,728002365,STK
005380,KR7005380001,현대차,KOSPI,,510000,2,-19000,-3.59,530000,543000,500000,4774169,2467401511500,104426460660000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,412000,2,-5000,-1.2,427500,430500,407000,486387,201782984500,96408000000000,234000000,STK
005935,KR7005931001,삼성전자우,KOSPI,,111300,3,0,0.0,112000,112800,109800,4045154,450645650165,90817980103200,815974664,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1802000,1,24000,1.35,1794000,1808000,1790000,62438,112333805164,83416293702000,46290951,STK
329180,KR7329180004,HD현대중공업,KOSPI,,627000,1,14000,2.28,620000,639000,617000,199771,125345572000,65810688075000,104961225,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1255000,2,-34000,-2.64,1281000,1289000,1234000,260134,326708122497,64712068255000,51563401,STK
000270,KR7000270009,기아,KOSPI,,159000,2,-5600,-3.4,162200,165550,157300,2594922,416973621650,62075666682000,390412998,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,93300,1,3300,3.67,90800,94900,90000,8194841,762095734600,59764354921800,640561146,STK
402340,KR7402340004,SK스퀘어,KOSPI,,445500,2,-1000,-0.22,451000,451500,434500,322700,142825533000,58844809732500,132087115,STK
028260,KR7028260008,삼성물산,KOSPI,,305500,1,8000,2.69,300000,310000,298000,408118,124940050000,51927834192000,169976544,STK
105560,KR7105560007,KB금융,KOSPI,,135600,1,900,0.67,133700,136000,133100,857227,115800677550,51726261166800,381462103,STK
068270,KR7068270008,셀트리온,KOSPI,,212000,1,4000,1.92,209000,213500,206500,698933,147206092000,48963725428000,230960969,STK
042660,KR7042660001,한화오션,KOSPI,,140300,1,2600,1.89,138200,148900,138200,3902320,560117270900,42989799178200,306413394,STK
035420,KR7035420009,NAVER,KOSPI,,266000,1,20500,8.35,248000,269500,246500,5042292,1324215574014,41722801708000,156852638,STK
012330,KR7012330007,현대모비스,KOSPI,,457500,1,4000,0.88,447000,466500,444000,637298,290593228750,41510156722500,90732583,STK
